kode_penyakit,kode_gejala,cf1,cf2,cf_pakar,cf_optimal
P06,G30,0.00,0.00,0.00,0
P06,G31,0.00,0.00,0.00,0
P07,G01,0.00,0.00,0.00,0
P07,G02,0.00,0.00,0.00,0
P07,G03,0.80,1.00,1.00,1
P07,G04,0.00,0.00,0.00,0
P07,G05,0.60,1.00,0.80,0.800000000005597
P07,G06,0.00,0.00,0.00,0
P07,G07,0.00,0.00,0.00,0
P07,G08,0.80,1.00,1.00,1
P07,G09,0.00,0.00,0.00,0
P07,G10,0.00,0.00,0.00,0
P07,G11,0.00,0.00,0.00,0
P07,G12,0.00,0.00,0.00,0
P07,G13,0.00,0.00,0.00,0
P07,G14,0.60,0.00,0.40,0.399999999987955
P07,G15,0.80,1.00,1.00,1
P07,G16,0.00,0.00,0.00,0
P07,G17,0.00,0.00,0.00,0
P07,G18,0.00,0.00,0.00,0
P07,G19,0.00,0.00,0.00,0
P07,G20,0.00,0.00,0.00,0
P07,G21,0.00,0.00,0.00,0
P07,G22,0.00,0.00,0.00,0
P07,G23,0.00,0.00,0.00,0
P07,G24,0.00,0.00,0.00,0
P07,G25,0.00,0.00,0.00,0
P07,G26,0.00,0.00,0.00,0
P07,G27,0.00,0.00,0.00,0
P07,G28,0.00,0.00,0.00,0
P07,G29,0.00,0.00,0.00,0
P07,G30,0.00,0.00,0.00,0
P07,G31,0.00,0.00,0.00,0
P08,G01,0.60,1.00,0.80,0.7999999977
P08,G02,0.00,0.00,0.00,0
P08,G03,0.00,0.00,0.00,0
P08,G04,0.60,1.00,0.80,0.800000005
P08,G05,0.00,0.00,0.00,0
P08,G06,0.60,0.80,0.80,0
P08,G07,0.00,0.00,0.00,0
P08,G08,0.00,0.00,0.00,0
P08,G09,0.00,0.00,0.00,0
P08,G10,0.00,0.00,0.00,0
P08,G11,0.00,0.00,0.00,0
P08,G12,0.00,0.00,0.00,0
P08,G13,0.00,0.00,0.00,0
P08,G14,0.00,0.00,0.00,0
P08,G15,0.00,0.00,0.00,0
P08,G16,0.00,0.00,0.00,0
P08,G17,0.00,0.00,0.00,0
P08,G18,0.00,0.00,0.00,0
P08,G19,0.00,0.00,0.00,0
P08,G20,0.00,0.00,0.00,0
P08,G21,0.00,0.00,0.00,0
P08,G22,0.00,0.00,0.00,0
P08,G23,0.00,0.00,0.00,0
P08,G24,1.00,1.00,1.00,1
P08,G25,1.00,1.00,1.00,1
P08,G26,0.00,0.00,0.00,0
P08,G27,0.00,0.00,0.00,0
P08,G28,0.00,0.00,0.00,0
P08,G29,0.00,0.00,0.00,0
P08,G30,0.00,0.00,0.00,0
P08,G31,0.60,0.00,0.40,1
P09,G01,0.80,1.00,1.00,1
P09,G02,0.00,0.00,0.00,0
P09,G03,0.00,0.00,0.00,0
P09,G04,0.80,1.00,1.00,1
P09,G05,0.60,1.00,0.80,0.7999999999
P09,G06,0.00,0.00,0.00,0
P09,G07,0.00,0.00,0.00,0
P09,G08,0.00,0.00,0.00,0
P09,G09,0.00,0.00,0.00,0
P09,G10,0.00,0.00,0.00,0
P09,G11,0.00,0.00,0.00,0
P09,G12,0.00,0.00,0.00,0
P09,G13,0.00,0.00,0.00,0
P09,G14,0.00,0.00,0.00,0
P09,G15,0.00,0.00,0.00,0
P09,G16,0.00,0.00,0.00,0
P09,G17,0.00,0.00,0.00,0
P09,G18,0.00,0.00,0.00,0
P09,G19,0.00,0.00,0.00,0
P09,G20,0.00,0.00,0.00,0
P09,G21,0.00,0.00,0.00,0
P09,G22,0.00,0.00,0.00,0
P09,G23,0.00,0.00,0.00,0
P09,G24,0.00,0.00,0.00,0
P09,G25,0.00,0.00,0.00,0
P09,G26,0.60,1.00,0.80,1
P09,G27,1.00,1.00,1.00,1
P09,G28,0.00,0.00,0.00,0
P09,G29,0.00,0.00,0.00,0
P09,G30,0.00,0.00,0.00,0
P09,G31,0.00,0.00,0.00,0
